0.9067,0.8837,0.8811,0.8886,0.8869,0.8914,0.8841,0.8914,0.891,0.8919,
0.8853,0.8911,0.8916,0.8907,0.8919,0.8913,0.8915,0.8914,0.8914,0.8914,
0.9014,0.8905,0.8896,0.8924,0.891,0.8915,0.8896,0.8914,0.8918,0.8914,
0.8912,0.8912,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8913,0.8914,
0.8909,0.8917,0.8913,0.8911,0.8914,0.8914,0.8911,0.8912,0.888,0.8912,
0.9038,0.8721,0.8861,0.8927,0.8865,0.8913,0.8904,0.8915,0.8924,0.8917,
0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,
0.8896,0.8914,0.8899,0.8914,0.8914,0.8914,0.8917,0.8914,0.8913,0.8911,
0.9118,0.895,0.892,0.8912,0.8918,0.8916,0.8909,0.8914,0.8905,0.8909,
0.9139,0.8969,0.8938,0.8897,0.8929,0.8912,0.8932,0.8915,0.9,0.8914,
0.8896,0.8914,0.8915,0.8914,0.8904,0.8915,0.892,0.8912,0.8914,0.8912,
0.8887,0.8904,0.8923,0.8911,0.8912,0.8914,0.8913,0.8914,0.8919,0.8913,
0.8863,0.8923,0.8925,0.8917,0.8917,0.8914,0.8908,0.8913,0.8864,0.8914,
0.8995,0.8797,0.8919,0.8923,0.8916,0.8908,0.8917,0.8914,0.8656,0.8913,
0.8626,0.8744,0.8939,0.8914,0.8919,0.8913,0.8931,0.8915,0.8964,0.8916,
0.8967,0.8928,0.8918,0.8906,0.8914,0.8912,0.8918,0.8913,0.8914,0.8914,
0.9232,0.8856,0.8643,0.883,0.8407,0.8915,0.8527,0.8916,0.8899,0.8919,
0.887,0.8906,0.8921,0.8906,0.8912,0.8914,0.892,0.8914,0.8914,0.8912,
0.8901,0.8696,0.892,0.8917,0.8886,0.8913,0.8927,0.8914,0.8826,0.8916,
0.8896,0.8914,0.8911,0.8914,0.8913,0.8914,0.8918,0.8914,0.8909,0.8913,
0.8931,0.8911,0.8801,0.8854,0.8926,0.8915,0.8898,0.8912,0.8868,0.8915,
0.8864,0.881,0.8916,0.8887,0.8914,0.8913,0.8917,0.8912,0.8954,0.8914,
0.8909,0.8934,0.8916,0.8917,0.8896,0.8913,0.892,0.8914,0.8906,0.8915,
0.8921,0.8918,0.8914,0.8915,0.8914,0.8914,0.8914,0.8914,0.8917,0.8914,
0.8804,0.8791,0.8917,0.8917,0.8907,0.8912,0.8932,0.8914,0.8794,0.8912,
0.8905,0.8923,0.891,0.8898,0.8933,0.8914,0.891,0.8913,0.8914,0.8914,
0.8916,0.8914,0.8911,0.8914,0.8914,0.8914,0.8911,0.8914,0.8913,0.8914,
0.8915,0.8913,0.8912,0.8913,0.8912,0.8914,0.8921,0.8914,0.8912,0.8914,
0.9075,0.8925,0.8927,0.8892,0.8933,0.8913,0.89,0.8914,0.8968,0.8918,
0.8966,0.8687,0.8609,0.8832,0.8612,0.8914,0.8883,0.8915,0.8875,0.8917,
0.8902,0.8917,0.8914,0.8912,0.8914,0.8914,0.8916,0.8912,0.8914,0.8911,
0.8657,0.8907,0.8922,0.8967,0.893,0.8908,0.8933,0.8912,0.9086,0.8909,
0.893,0.891,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8918,0.8914,
0.8968,0.893,0.8929,0.8916,0.8922,0.8914,0.8927,0.8914,0.8683,0.8911,
0.8913,0.8917,0.8913,0.8905,0.8915,0.8914,0.8917,0.8913,0.8905,0.8911,
0.8905,0.8913,0.8902,0.8912,0.891,0.8914,0.8926,0.8914,0.8922,0.8914,
0.892,0.8914,0.8914,0.8913,0.8915,0.8915,0.8916,0.8914,0.8915,0.8913,
0.8961,0.8891,0.8933,0.8865,0.8943,0.8915,0.8896,0.8913,0.8898,0.8915,
0.8906,0.8917,0.8909,0.8913,0.8911,0.8914,0.8917,0.8914,0.8904,0.8914,
0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,
0.8909,0.8914,0.8912,0.8914,0.8914,0.8914,0.8914,0.8914,0.8913,0.8914,
0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,0.8914,
0.9013,0.891,0.8899,0.8914,0.8914,0.8914,0.8928,0.8914,0.8801,0.8914,
0.8914,0.8914,0.8906,0.8914,0.8912,0.8915,0.8919,0.8914,0.8914,0.8916,
0.8914,0.8915,0.8897,0.8914,0.8913,0.8914,0.8917,0.8914,0.8914,0.891,
0.8962,0.8931,0.891,0.8911,0.8914,0.8913,0.8913,0.8914,0.8865,0.8914,
0.8984,0.8925,0.8867,0.8926,0.8889,0.8916,0.8888,0.8912,0.8958,0.8914,
0.8799,0.8919,0.8875,0.8917,0.8915,0.8915,0.8907,0.8911,0.8982,0.891,
